x,y
110400,0.127121841
110600,0.127283505
110800,0.127391281
111001,0.127552945
111200,0.127660721
111400,0.127822385
111600,0.127930161
111800,0.128091825
112000,0.128199601
112200,0.128361265
112401,0.128469041
112600,0.128630705
112800,0.128738481
113000,0.128900145
113200,0.129007922
113400,0.129115698
113601,0.129277362
113800,0.129385138
114000,0.129546802
114200,0.129708466
114400,0.129816242
114601,0.129977906
114801,0.130085682
115000,0.130247346
115200,0.130355122
115400,0.130516786
115601,0.130624562
115800,0.130786226
116001,0.130894002
116200,0.131055666
116400,0.131163442
116600,0.131325106
116800,0.131432882
117000,0.131540659
117201,0.131702323
117400,0.131810099
117600,0.131971763
117800,0.132079539
118000,0.132241203
118200,0.132348979
118400,0.132510643
118601,0.132618419
118800,0.132726195
119000,0.132887859
119200,0.132995635
119400,0.133103411
119600,0.133265075
119800,0.133372851
120000,0.133534515
120200,0.133642291
120400,0.133750067
120600,0.133911731
120800,0.134019507
121000,0.134127284
121200,0.134288948
121400,0.134396724
121600,0.134558388
121800,0.134666164
122000,0.13477394
122200,0.134935604
122401,0.13504338
122600,0.135151156
122800,0.13531282
123001,0.135420596
123200,0.135528372
123400,0.135690036
123600,0.135797812
123801,0.135905588
124000,0.136067252
124200,0.136175028
124401,0.136282804
124600,0.136444468
124800,0.136552244
125000,0.13666002
125201,0.136821685
125400,0.136929461
125600,0.137037237
125800,0.137145013
126000,0.137306677
126200,0.137414453
126400,0.137522229
126600,0.137683893
126801,0.137791669
127000,0.137899445
127201,0.138061109
127401,0.138168885
127600,0.138276661
127800,0.138438325
128000,0.138546101
128200,0.138653877
128400,0.138761653
128600,0.138923317
128800,0.139031093
129000,0.139138869
129200,0.139246645
129400,0.13940831
129600,0.139516086
129800,0.139623862
130000,0.139731638
130200,0.139893302
130400,0.140001078
130600,0.140108854
130800,0.14021663
131000,0.140378294
131200,0.14048607
131400,0.140593846
131601,0.140701622
131800,0.140809398
132000,0.140971062
132200,0.141078838
132401,0.141186614
132600,0.14129439
132800,0.141402166
133001,0.14156383
133200,0.141671606
133400,0.141779382
133600,0.141887158
133800,0.141994935
134000,0.142156599
134200,0.142264375
134400,0.142372151
134600,0.142479927
134800,0.142587703
135000,0.142749367
135201,0.142857143
135401,0.142964919
135600,0.143072695
135800,0.143180471
136000,0.143288247
136200,0.143449911
136400,0.143557687
136600,0.143665463
136800,0.143773239
137000,0.143881015
137200,0.143988791
137400,0.144096567
137600,0.144258231
137800,0.144366007
138000,0.144473783
138200,0.14458156
138400,0.144689336
138600,0.144797112
138800,0.144904888
139000,0.145012664
139200,0.14512044
139401,0.145228216
139601,0.14538988
139800,0.145497656
140000,0.145605432
140200,0.145713208
140400,0.145820984
140600,0.14592876
140800,0.146036536
141000,0.146144312
141200,0.146252088
141400,0.146359864
141600,0.14646764
141800,0.146575416
142000,0.14673708
142200,0.146844856
142400,0.146952632
142600,0.147060408
142800,0.147168185
143000,0.147275961
143200,0.147383737
143401,0.147491513
143601,0.147599289
